siteID,stationID,procID,startDate,endDate,project_filepath,data_path,out_path
EB,EasterBush,CO2_H2O,1995-01-01 00:00,2006-12-31 23:59,N:/0Peter/curr/ECsystem/eddypro/EB_1995.eddypro,/group_workspaces/jasmin2/eddystore/stations/EasterBush/raw_files,/group_workspaces/jasmin2/eddystore/stations/EasterBush/output
EB,EasterBush,CO2_H2O,2007-01-01 00:00,2012-12-31 23:59,N:/0Peter/curr/ECsystem/eddypro/EB_2007.eddypro,/group_workspaces/jasmin2/eddystore/stations/EasterBush/raw_files,/group_workspaces/jasmin2/eddystore/stations/EasterBush/output
EB,EasterBush,CO2_H2O,2013-01-01 00:00,2020-01-01 12:00,N:/0Peter/curr/ECsystem/eddypro/EB_2013.eddypro,/group_workspaces/jasmin2/eddystore/stations/EasterBush/raw_files,/group_workspaces/jasmin2/eddystore/stations/EasterBush/output
EB,EasterBush,N2O_H2O,2016-01-01 00:00,2020-01-01 12:00,/group_workspaces/jasmin2/eddystore/stations/EasterBush/proc/processing_2018-02-26T132538_adv.eddypro,/group_workspaces/jasmin2/eddystore/stations/EasterBush/raw_files,/group_workspaces/jasmin2/eddystore/stations/EasterBush/output
AM,Auchencorth,CO2_H2O,1995-01-01 00:00,2006-12-31 23:59,/group_workspaces/jasmin2/eddystore/stations/Auchencorth/proc/processing_1995.eddypro,/group_workspaces/jasmin2/eddystore/stations/Auchencorth/raw_files,/group_workspaces/jasmin2/eddystore/stations/Auchencorth/output
AM,Auchencorth,CO2_H2O,2007-01-01 00:00,2012-12-31 23:59,/group_workspaces/jasmin2/eddystore/stations/Auchencorth/proc/processing_2007.eddypro,/group_workspaces/jasmin2/eddystore/stations/Auchencorth/raw_files,/group_workspaces/jasmin2/eddystore/stations/Auchencorth/output
AM,Auchencorth,CO2_H2O,2013-01-01 00:00,2020-01-01 12:00,/group_workspaces/jasmin2/eddystore/stations/Auchencorth/proc/processing_2013.eddypro,/group_workspaces/jasmin2/eddystore/stations/Auchencorth/raw_files,/group_workspaces/jasmin2/eddystore/stations/Auchencorth/output
WH,Whim,CO2_CH4_H2O,1995-01-01 00:00,2006-12-31 23:59,/group_workspaces/jasmin2/eddystore/stations/Whim/proc/processing_1995.eddypro,/group_workspaces/jasmin2/eddystore/stations/Whim/raw_files,/group_workspaces/jasmin2/eddystore/stations/Whim/output
WH,Whim,CO2_CH4_H2O,2007-01-01 00:00,2012-12-31 23:59,/group_workspaces/jasmin2/eddystore/stations/Whim/proc/processing_2007.eddypro,/group_workspaces/jasmin2/eddystore/stations/Whim/raw_files,/group_workspaces/jasmin2/eddystore/stations/Whim/output
WH,Whim,CO2_CH4_H2O,2013-01-01 00:00,2020-01-01 12:00,/group_workspaces/jasmin2/eddystore/stations/Whim/proc/processing_2013.eddypro,/group_workspaces/jasmin2/eddystore/stations/Whim/raw_files,/group_workspaces/jasmin2/eddystore/stations/Whim/output
EB_jasmin,EasterBush_jasmin,CO2_H2O,1995-01-01 00:00,2006-12-31 23:59,/group_workspaces/jasmin2/eddystore/stations/EasterBush/proc/processing1995.eddypro,/group_workspaces/jasmin2/eddystore/stations/EasterBush_jasmin/raw_files,/group_workspaces/jasmin2/eddystore/stations/EasterBush_jasmin/output
EB_jasmin,EasterBush_jasmin,CO2_H2O,2007-01-01 00:00,2012-12-31 23:59,/group_workspaces/jasmin2/eddystore/stations/EasterBush/proc/processing2007.eddypro,/group_workspaces/jasmin2/eddystore/stations/EasterBush_jasmin/raw_files,/group_workspaces/jasmin2/eddystore/stations/EasterBush_jasmin/output
EB_jasmin,EasterBush_jasmin,CO2_H2O,2013-01-01 00:00,2020-01-01 12:00,/group_workspaces/jasmin2/eddystore/stations/EasterBush/proc/processing2013.eddypro,/group_workspaces/jasmin2/eddystore/stations/EasterBush_jasmin/raw_files,/group_workspaces/jasmin2/eddystore/stations/EasterBush_jasmin/output
EB_jasmin,EasterBush_jasmin,N2O_H2O,2016-01-01 00:00,2020-01-01 12:00,/group_workspaces/jasmin2/eddystore/stations/EasterBush/proc/processing_2018-02-26T132538_adv.eddypro,/group_workspaces/jasmin2/eddystore/stations/EasterBush_jasmin/raw_files,/group_workspaces/jasmin2/eddystore/stations/EasterBush_jasmin/output
